PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target
-6.924133746119974,5.144825065145622,-2.5293395735576,-2.850952673938278,-1.3155369530658723,-4.455829292009288,-1.5806737412462715,-0.13873325962190042,2.270531879997555,-2.4018538792424056,dream
-2.0258976392296715,0.5528410628677465,4.946311194582626,0.6173312605351626,0.4976632017267663,-0.14291198495822785,-1.3212485880058515,2.7392505572157515,0.9210947548344268,-1.454621687200305,dream
2.975883160881503,2.8351056714335425,-5.304274072200034,-1.926584274224256,-3.4199784404560662,1.0782163835599508,0.10634729818429829,-2.3752329269202117,0.5693518835858419,-0.19904525688009025,wake
-2.338474487625501,2.590591441510631,-4.753206374893549,-0.005476561384522203,-0.5687449020630369,0.995576760600048,-0.7158857789840627,-0.09678969218402841,2.008935032631008,2.0826217264390023,wake
-10.494566066399175,1.3557347886266382,-0.6995030394132827,-1.2509315348900683,-0.3261399847223041,0.7648337795986883,-1.1147063994257134,-1.3916630928470874,-1.6596664703016841,0.32004890755674786,wake
2.591257200386088,4.216290022336691,-1.4178364222119182,0.605655738048768,1.123855871149456,-2.3725421201880197,0.09137764859012434,-2.1097461928512367,0.12268874438491462,-0.17641013798665214,dream
-3.3605699171359835,4.007053484664544,1.6199291394763884,3.115593217352717,6.27414466373967,-1.5207714291980154,1.8623761788237299,3.686965643314745,-4.582447742310334,-1.4873561060852825,dream
2.7013927611620154,-4.896225181449714,-2.899277178812207,-3.9969124878929714,-0.5511577325742993,-0.7921701682304856,-4.056035384222855,-0.626864561702426,-4.333630710931996,1.5830570635662498,dream
-8.981225718747417,-1.4454265740275727,-1.2257041713734105,-2.4495395193979195,-0.6964162401003725,0.6413305124486886,-1.1700064971045707,-1.258073858552971,-2.031847904227372,0.23591937346749897,dream
-8.72038817130771,0.799820901679609,-1.1731140512718257,-1.1041104571434863,-0.8040924392881195,-0.17409756364828557,-0.5087585710378622,-0.9401700194073194,-1.267354597512191,3.2486526140484924,dream
-0.6551895982208938,-4.1285542080051885,4.5467247337941314,-1.6445782482561642,-0.957831001717597,1.6374576619373833,-1.5143618331054345,2.3896594277873664,1.841941917098623,0.1373120536438356,dream
