,PC1,PC2,PC3,PC4,PC5
id_dream,0.010238120572067329,0.02757933871158448,0.015537620302354643,-0.010504475490257598,0.011911675222244124
Sex,0.0009421346882722004,-0.010219741796530124,0.01389985537746194,0.037747806963687236,-0.029134088413383025
Age,-0.0056125602793264395,0.038261630074124114,-0.04284035867146495,-0.018035748894524695,-0.017314136251032175
Education,-0.018847246150798302,-0.011899142024270337,0.020471847618956984,-0.03735803230734502,-0.05012246169232823
INC_r1,-0.0123682549549742,-0.051339863364585514,-0.036137250141492744,0.2715954095358905,-0.17840983044440245
INC_r2,-0.014025048714604157,-0.04862343812642414,-0.038666243807511935,0.2794228604146831,-0.18085716620906378
INC_r3,-0.012009932165592383,-0.05287600673526953,-0.03490745321652722,0.2808564140213363,-0.1769950324037981
INC_r4,-0.015069018476170266,-0.0494030181418686,-0.039676715841345245,0.27108214276812653,-0.17740469131112324
MEC_r1,0.04343956262485443,-0.09671735428082107,-0.01946993900338556,0.05640400059856432,-0.02085822682357946
MEC_r2,0.0385140790728762,-0.09753632136752483,-0.03844365729962757,0.0591633402790237,-0.029045135894959495
MEC_r3,-0.011221137193028384,-0.04359375125420237,-0.01554997103886166,0.028387791005577756,-0.012054946979300707
MEC_r4,0.05985430847858659,-0.07075141141159254,0.04892753863811602,0.058151256420150635,-0.07686307662165416
VIS_r1,0.07720083850851912,0.1215712751400324,-0.05301606867848521,-0.03621721494733604,0.004227972628625211
VIS_r2,0.08793894720566438,0.10908781509504915,-0.03291078414576805,-0.04472977204068439,-0.03958277813766447
VIS_r3,0.08714625324262393,0.09533818097927148,-0.02827303679948099,-0.040354395034590436,-0.05776118322641441
VIS_r4,0.08968623894476394,0.07683882368623893,0.009108839373740487,-0.05859703668148806,0.007115490731622688
AUD_r1,0.07143935564635297,-0.03794489503174753,0.20722982342346807,0.04614461889093952,-0.020201832820600313
AUD_r2,0.06987546642590552,-0.01736994747104643,0.19733563795268225,0.039962828282791345,-0.012137919595507078
AUD_r3,0.06306167384954109,-0.03925977704985742,0.2104053774045605,0.0646473641088078,-0.02262153623491475
AUD_r4,0.090005729063322,-0.020511235347248455,0.19187085196265957,0.029668581571485542,-0.012106794981942764
TAC_r1,0.026539179086226952,0.04065472564020854,-0.030903431206235683,0.06719251497795346,0.09692859024278992
TAC_r2,0.05265501150396413,0.04957423942550895,-0.048128337560890494,0.10063574471379273,0.1460287876357748
TAC_r3,0.03109291488208542,0.017096916381291582,-0.06165290900478398,0.09637724032306233,0.11375047004087839
TAC_r4,0.060285785657725716,0.04567424826529066,-0.06873958320634961,0.09600352770693155,0.12433799320284782
VAL_r1,-0.027939134509372007,0.20471530851743144,0.08831247685304479,0.06936109385677583,0.03699683330083577
VAL_r2,-0.05463041112933802,0.20473355191842657,0.08822284337744464,0.06472126008582045,0.016859318734888447
VAL_r3,-0.057189464075591036,0.19210592786014283,0.09878282195583096,0.07621677732005781,0.0020912244179346834
