PC1,PC2,PC3,PC4,PC5
-6.93923456214513,5.119692653025042,-2.5568029056739534,-2.813172418633883,-1.3225234151673262
-2.038524100245529,0.5465850580934096,4.930055982560974,0.6511409887431984,0.49830123943698357
2.9710066625340183,2.789861942957013,-5.32378447335467,-1.9330980331677254,-3.446520540053828
-2.339969530250372,2.558194115008698,-4.765663724218329,-0.01836726286086773,-0.5837636021517669
-10.492760570016848,1.3411574614203925,-0.7039709601971735,-1.2666178804991786,-0.34383929714130484
2.5901583418443637,4.224999977396445,-1.4255367331980584,0.6257838245267187,1.1363865310556445
-3.358136233999198,4.032097548493464,1.6186752469409569,3.1280715231341607,6.296560593741744
2.6872614943870032,-4.915734888735292,-2.902265205031931,-3.9758472649414234,-0.5574611323249026
-8.99108941867276,-1.4498472122361068,-1.2292415122524791,-2.4289952506738066,-0.6961307407464774
-8.735718168734008,0.7797437228122873,-1.1902968406085224,-1.0741899252112832,-0.8060681781136518
-0.6683501890960395,-4.131276904216694,4.542997176532305,-1.617258402657233,-0.9584513493278778
-2.8846670831838863,0.04345859639555431,1.965269421983542,-0.2347998871331963,-0.5156175596970799
-9.262053729801082,1.7156388948473043,-1.9261707384319173,-1.4134326094472704,-0.6418197419455087
-3.517742621499818,-3.086057506138769,3.7120578311289796,5.081168755644867,0.13727248290511357
6.95246942427975,-1.166369184374834,1.7418138937845404,-2.1201569688233746,-3.7242756346382726
7.072343869613782,1.6522290040401482,2.180471381792603,-0.9285560328261836,-2.883339534883509
10.885623975961346,0.09455498020724354,-4.3125086082714486,-1.0711303495953237,-1.2373354851158562
6.338727623672449,-0.9677279619173736,3.03720205609861,-0.9997659608997908,-1.4640767046513066
-3.3242930122881122,4.229453037333933,5.587503074829486,-0.35784923553577763,-0.5062847852256868
-0.9452419350101378,-1.07779848763093,6.4288926174568415,-0.03169224006639043,-1.0093908864038597
-0.10072770777856296,1.5803813432608362,0.8897230978712662,-0.44846102799103016,-1.6386991650513694
0.4738064243956689,-2.2685809777454797,2.210901541333593,-1.2570577499354516,0.11878159581078167
0.4375219671446481,-7.634867511455769,1.4284921532541457,-2.111426930397785,-0.39851048367176034
2.867538690468322,-2.466219907835232,5.630169512126376,-0.7502633866317667,-0.8577671572529405
3.898378923712795,-0.20788127235385345,1.2606020059710628,0.4075655838688135,0.40201562417295145
0.4910094436291277,-0.6093951193911248,5.431015459087316,-0.07214022927399201,-0.4181240631181202
4.82272311596543,-5.947656504653653,3.776435630271063,-0.8781811289509072,-2.140216050338334
-4.925345167918108,-4.311897661706993,5.528039754044225,-1.8041685911875533,0.09984884357227805
10.459126406540543,-4.131413598440464,0.8067797250322354,-1.1500353643241756,1.1309048492567537
4.5717327695527645,2.705092839644179,0.6835812601874787,-1.4382641217940157,-1.278190849973253
1.0105122385126193,-4.994891225754394,-2.531102636643925,-0.8298933126802811,1.6141444848996547
-1.1477822815671337,-7.64186098037149,-6.6042629389459355,-0.9101208788816976,-0.6073886748485893
-2.05878906988727,3.573475002355325,2.6441285354194592,1.081849374917807,2.3232243906863053
-1.3673515439066193,-0.757482617484408,3.5558738008595907,-0.6664654647299028,-0.6529743622017823
11.955650456787952,-1.2755366491649973,-0.11586317186823951,1.8599444271804384,4.432303893503542
-2.995436622317167,-5.4561633031268775,4.195354134657882,0.23034899345424356,-0.42017289161847415
-1.7293381115424982,-7.913121754761851,-1.8504298428526953,-1.4615466237010328,1.4653648034109945
6.2965110714095625,0.5346730007867391,2.0056131969530306,4.935878713826491,-4.48638837807352
-0.02459931371102581,-0.32973204641294607,4.025058168238682,1.994363219023442,1.9182930775816818
-2.0345804319658414,-5.865943656683742,5.088309176254381,2.15979931425352,-0.7211179924885124
-3.2996058257092287,-1.4153828106823167,4.671129422562214,-0.4697698828979451,2.9712326369891624
-3.1522477409916494,3.1973794558801383,3.436263951556188,1.2120086514761286,0.0910174909833362
7.631879783359203,-3.8416637125836672,2.8027183099495496,-1.531808624041439,-2.0444332379953
-5.224557678626543,-2.6527731208890857,3.402539048571492,0.3395756982323618,-0.6690472879117804
2.4910921338279626,-2.3691033778637736,0.701838116214151,-0.06326662794503397,-2.1015105135798624
-3.3113371316186795,-5.939834981370763,-2.586906790318779,-5.138132631606064,-0.8936806027269645
7.668770139054484,0.4451461701507038,-2.1770531991228523,1.0142868791971988,2.7962332763130178
10.979156178708973,-0.868116169256272,-5.40642362518486,-2.5200399826052595,-1.9855129392685833
-6.698750877917838,0.8652132575720809,2.1175117819293114,0.07933261771162085,1.100783081825489
