,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
VIS_r2,0.08791729342464068,0.10913750036183766,-0.032734726787001005,-0.0447701694932278,-0.03950311424973814,-0.1582796815563835,-0.014424031783644153,0.05643761786431467,0.13537009389107396,-0.02684997056888437
VIS_r3,0.08714391975635832,0.09557590269387442,-0.028001552048894533,-0.040439369823895635,-0.057502931708883195,-0.14189171887237617,0.0028574553497927035,0.03967922163928517,0.13776649087502812,-0.030250004846245737
VIS_r4,0.08968123955325462,0.07683257828894596,0.009267037027755729,-0.05877462725067616,0.007214894220821014,-0.1111197990117582,-0.07975433384519338,0.057378670028543466,0.13684116087203105,0.028761329790380277
AUD_r1,0.07143286600653459,-0.038287615492106575,0.20719111811539004,0.04603277295323293,-0.020209046705563442,0.02808616516208605,-0.018863490122418808,0.06065221148877731,0.0436597755796127,-0.0015482968704658706
AUD_r2,0.06987260503280558,-0.01766871422250451,0.1973659757552999,0.039762028570125334,-0.012134289577138182,0.00042819576631174857,-0.05758306739005692,0.04796237093538977,0.004607913030125477,-0.022501000339641503
AUD_r3,0.0630629957670496,-0.03957258712970389,0.21040937302581889,0.0644308625662779,-0.02267846295131383,0.011488911460120177,-0.047758327672604683,0.06762471890683722,0.03279701267200136,-0.006127890093773292
AUD_r4,0.08999837584470859,-0.02081644748896093,0.19186761387173973,0.02955252190945948,-0.01205758752094955,0.028565159218246452,-0.04864572083417682,0.03720540608736524,0.0042845181429994605,0.012169085211890751
TAC_r1,0.02653469782508942,0.04062968650811988,-0.030847653278531544,0.06714013597352782,0.0965657985166305,-0.021859859506556514,0.04923183141872143,0.1932561059389233,-0.15042484229742598,-0.034561049960598555
TAC_r2,0.05264778445207904,0.04973091958084684,-0.04801044458582394,0.10082165721587419,0.14580509213761939,0.004351960782240842,0.03945409841642514,0.18747813963135365,-0.15389473845440216,0.029880232166633408
TAC_r3,0.0310819007490653,0.017190808494910094,-0.061655901000243304,0.09662275192360952,0.11344942766068475,-0.03731674994247111,0.01792415101892996,0.22311743140249932,-0.19159794381876594,0.034208267759027446
TAC_r4,0.06027183486787362,0.04574179730624399,-0.06870106610012328,0.09619105256080865,0.12398836981085924,0.02740179522469563,0.04892441174985556,0.164547744941882,-0.12788929980439903,0.0319039551896317
VAL_r1,-0.02797881242255412,0.20466627033085535,0.08878541462349678,0.06915537628371299,0.037008898277603126,-0.05741766405529792,0.07933302267679106,-0.040603652207919345,-0.03092903967914379,0.018053524204256335
VAL_r2,-0.0546611042617031,0.2046455728411889,0.08871113502357772,0.06432440278990287,0.016766433333628185,-0.06216477504407974,0.07023962901005688,-0.004435399982381806,-0.026498701251270573,0.05781830757419248
VAL_r3,-0.0572229872787922,0.19202208222349754,0.09924952329596697,0.07589051466254768,0.0020458696508190467,-0.029156181349770792,0.09050952710063835,-0.040218354416487787,-0.005815503793551364,0.009478521695104214
VAL_r4,-0.024621060851751985,0.2041965407143637,0.10294837850649137,0.059233408261202714,0.008851231337326546,-0.04820719802868867,0.06912626228656962,-0.02118286442483716,-0.02958825750377781,0.06806686472436653
ARO_r1,0.08997882676758567,-0.07333630731338801,0.001861157654613432,-0.008294137860781557,0.04800920504587495,0.0066130906325282636,0.09428972471897384,0.03953781457987069,0.03462611614997981,-0.09112024394804981
ARO_r2,0.09549787576714444,-0.08874367908991164,0.012797971243049164,-0.017680095409809936,0.031039114179869643,-0.006984559553278072,0.14487832385860103,0.05955675271402578,-0.0005545408802533362,-0.13501850484597155
ARO_r3,0.12533208790314374,-0.06145726150803888,-0.007853927160387785,-0.00682025564427613,0.01629374302745625,-0.010492734521513052,0.03293102066381961,0.03018317973688518,0.031471506075366175,-0.04163226345250667
ARO_r4,0.11792119152982948,-0.04107013327437419,0.006201425008311905,-0.00016452146026857701,0.023474504473160816,0.004876875662029661,0.07577583696096286,0.0069659467293145825,0.05473929113816587,0.029020267391703658
