PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,target,CodeRef
-6.924133746119974,5.144825065145622,-2.5293395735576,-2.850952673938278,-1.3155369530658723,-4.455829292009288,-1.5806737412462715,-0.13873325962190042,2.270531879997555,-2.4018538792424056,-1.613933491494162,0.6575067309219641,-1.0924628254262978,1.4484218410600387,-0.40156121414552554,0,DL207
-2.0258976392296715,0.5528410628677465,4.946311194582626,0.6173312605351626,0.4976632017267663,-0.14291198495822785,-1.3212485880058515,2.7392505572157515,0.9210947548344268,-1.454621687200305,-0.6251799266627561,-0.1146735663868493,-0.814718462644276,-0.7741288607015596,1.7048059350755413,0,DL215
2.975883160881503,2.8351056714335425,-5.304274072200034,-1.926584274224256,-3.4199784404560662,1.0782163835599508,0.10634729818429829,-2.3752329269202117,0.5693518835858419,-0.19904525688009025,-3.36808710512693,0.007594432522325001,3.2896782755970038,0.08963935263311175,-1.1792865062509073,1,XDL160
-2.338474487625501,2.590591441510631,-4.753206374893549,-0.005476561384522203,-0.5687449020630369,0.995576760600048,-0.7158857789840627,-0.09678969218402841,2.008935032631008,2.0826217264390023,1.3221451125928596,2.042904061022507,0.6520527718837507,0.324456677020054,0.6311655666973923,1,XDL160
-10.494566066399175,1.3557347886266382,-0.6995030394132827,-1.2509315348900683,-0.3261399847223041,0.7648337795986883,-1.1147063994257134,-1.3916630928470874,-1.6596664703016841,0.32004890755674786,-1.5075106640489206,0.21048458957416344,-0.6534431524964194,-0.1813732938621272,-0.7819232281001794,1,XDL205
2.591257200386088,4.216290022336691,-1.4178364222119182,0.605655738048768,1.123855871149456,-2.3725421201880197,0.09137764859012434,-2.1097461928512367,0.12268874438491462,-0.17641013798665214,2.1104401316290424,-0.559924642964481,-1.1074400737474699,0.49584865344685564,1.4071266967791576,0,DL033
-3.3605699171359835,4.007053484664544,1.6199291394763884,3.115593217352717,6.27414466373967,-1.5207714291980154,1.8623761788237299,3.686965643314745,-4.582447742310334,-1.4873561060852825,3.8720066432465323,-2.2606606377031304,1.5446856942010354,-0.8861875750681254,0.8021248549608123,0,DL198
2.7013927611620154,-4.896225181449714,-2.899277178812207,-3.9969124878929714,-0.5511577325742993,-0.7921701682304856,-4.056035384222855,-0.626864561702426,-4.333630710931996,1.5830570635662498,2.914981583740543,0.130839025466778,0.7171317419034641,2.623120123131991,2.9569552257649088,0,DL164
-8.981225718747417,-1.4454265740275727,-1.2257041713734105,-2.4495395193979195,-0.6964162401003725,0.6413305124486886,-1.1700064971045707,-1.258073858552971,-2.031847904227372,0.23591937346749897,-1.7802691133909525,-0.3705392850762401,1.0046205126488255,-0.3106023959791863,0.18111064822029924,0,DL062
-8.72038817130771,0.799820901679609,-1.1731140512718257,-1.1041104571434863,-0.8040924392881195,-0.17409756364828557,-0.5087585710378622,-0.9401700194073194,-1.267354597512191,3.2486526140484924,-0.7455763882006025,0.9021329089285828,0.06873652211362805,-0.8606279346121312,0.5923345262570918,0,DL011
-0.6551895982208938,-4.1285542080051885,4.5467247337941314,-1.6445782482561642,-0.957831001717597,1.6374576619373833,-1.5143618331054345,2.3896594277873664,1.841941917098623,0.1373120536438356,-1.1719820424536962,0.05634571840865457,-0.8170017028198034,-0.8700351030919204,0.3235878634833268,0,DL009
-2.8778551989966266,0.037599387150288696,1.9696895561552998,-0.25708551619979847,-0.5222039905665579,2.6525442856696744,1.377582060823611,0.3552807912428878,2.394287195910405,0.8319554497147963,-1.277528708723506,-2.6527837876899976,0.29622920405362946,1.979153412015746,-0.4694546503217872,0,DL023
-9.258339894677782,1.7067637257636796,-1.9240067611136553,-1.4333136855124788,-0.6516689278182691,-0.024351930127108064,-0.7712566891263934,-0.8519868690713673,-0.6676581439011023,-0.007534944665759943,-0.9733242264970391,0.7896771612268312,-0.0294900090736594,-0.6733489443902516,1.6398669812758615,0,DL038
